ZCTA5CE10,population,household_income,not_citizen_over_pop,n_killed_total,n_injured_total,n_killed_by_pop,n_injured_by_pop,year
33469,15643,7100,0.025826248,0,1,0,6.39E-05,2017
33469,15643,7100,0.025826248,0,1,0,6.39E-05,2015
33469,15643,7100,0.025826248,1,0,6.39E-05,0,2016
33409,32693,11077,0.185146667,4,4,0.00012235,0.00012235,2017
33409,32693,11077,0.185146667,2,6,6.12E-05,0.000183526,2015
33409,32693,11077,0.185146667,2,8,6.12E-05,0.000244701,2016
33409,32693,11077,0.185146667,1,4,3.06E-05,0.00012235,2014
33409,32693,11077,0.185146667,3,3,9.18E-05,9.18E-05,2018
33413,16457,4951,0.150574224,1,2,6.08E-05,0.000121529,2016
33413,16457,4951,0.150574224,0,0,0,0,2018
33413,16457,4951,0.150574224,0,0,0,0,2014
33413,16457,4951,0.150574224,0,2,0,0.000121529,2015
33413,16457,4951,0.150574224,1,0,6.08E-05,0,2017
33426,23009,9443,0.095875527,2,2,8.69E-05,8.69E-05,2017
33426,23009,9443,0.095875527,0,0,0,0,2018
33426,23009,9443,0.095875527,0,2,0,8.69E-05,2016
33426,23009,9443,0.095875527,1,1,4.35E-05,4.35E-05,2015
33426,23009,9443,0.095875527,2,1,8.69E-05,4.35E-05,2014
33471,7438,2087,0.089943533,0,0,0,0,1970
33484,25134,14096,0.069467653,0,1,0,3.98E-05,2017
33484,25134,14096,0.069467653,3,2,0.00011936,7.96E-05,2014
33484,25134,14096,0.069467653,0,0,0,0,2018
33004,16945,6722,0.096016524,3,5,0.000177043,0.000295072,2015
33004,16945,6722,0.096016524,2,2,0.000118029,0.000118029,2014
33004,16945,6722,0.096016524,2,2,0.000118029,0.000118029,2016
33004,16945,6722,0.096016524,5,8,0.000295072,0.000472116,2017
33010,47500,15146,0.367221053,1,0,2.11E-05,0,2018
33010,47500,15146,0.367221053,0,2,0,4.21E-05,2014
33010,47500,15146,0.367221053,0,1,0,2.11E-05,2016
33010,47500,15146,0.367221053,0,0,0,0,2015
33010,47500,15146,0.367221053,1,2,2.11E-05,4.21E-05,2017
33021,47461,17847,0.121615642,0,1,0,2.11E-05,2014
33021,47461,17847,0.121615642,0,0,0,0,2018
33021,47461,17847,0.121615642,1,3,2.11E-05,6.32E-05,2017
33021,47461,17847,0.121615642,1,0,2.11E-05,0,2015
33021,47461,17847,0.121615642,0,1,0,2.11E-05,2016
33023,71766,20191,0.151701363,6,7,8.36E-05,9.75E-05,2016
33023,71766,20191,0.151701363,4,5,5.57E-05,6.97E-05,2017
33023,71766,20191,0.151701363,7,10,9.75E-05,0.000139342,2015
33023,71766,20191,0.151701363,5,12,6.97E-05,0.00016721,2014
33023,71766,20191,0.151701363,0,0,0,0,2018
33025,68450,23332,0.157078159,6,3,8.77E-05,4.38E-05,2014
33025,68450,23332,0.157078159,3,4,4.38E-05,5.84E-05,2017
33025,68450,23332,0.157078159,2,1,2.92E-05,1.46E-05,2015
33025,68450,23332,0.157078159,1,3,1.46E-05,4.38E-05,2016
33025,68450,23332,0.157078159,0,1,0,1.46E-05,2018
33066,17137,8578,0.06529731,0,0,0,0,1970
33857,1892,822,0.10359408,0,0,0,0,1970
33947,8775,3919,0.038290598,0,0,0,0,1970
33168,28886,6734,0.193311639,1,4,3.46E-05,0.000138475,2014
33168,28886,6734,0.193311639,0,5,0,0.000173094,2016
33168,28886,6734,0.193311639,2,4,6.92E-05,0.000138475,2015
33168,28886,6734,0.193311639,1,1,3.46E-05,3.46E-05,2017
33313,62625,19558,0.175041916,2,2,3.19E-05,3.19E-05,2016
33313,62625,19558,0.175041916,9,6,0.000143713,9.58E-05,2015
33313,62625,19558,0.175041916,1,2,1.60E-05,3.19E-05,2018
33313,62625,19558,0.175041916,3,8,4.79E-05,0.000127745,2014
33313,62625,19558,0.175041916,2,2,3.19E-05,3.19E-05,2017
33437,38222,18229,0.049395636,0,2,0,5.23E-05,2014
33967,24206,8123,0.084896307,1,0,4.13E-05,0,2017
33967,24206,8123,0.084896307,0,0,0,0,2015
33967,24206,8123,0.084896307,1,0,4.13E-05,0,2018
33967,24206,8123,0.084896307,5,0,0.00020656,0,2014
33966,9418,3874,0.094924612,0,2,0,0.000212359,2015
33966,9418,3874,0.094924612,0,0,0,0,2017
33966,9418,3874,0.094924612,0,0,0,0,2014
33578,47735,17869,0.053524667,3,0,6.28E-05,0,2016
33578,47735,17869,0.053524667,2,1,4.19E-05,2.09E-05,2014
33578,47735,17869,0.053524667,0,1,0,2.09E-05,2017
33578,47735,17869,0.053524667,1,2,2.09E-05,4.19E-05,2015
33578,47735,17869,0.053524667,0,0,0,0,2018
33973,14975,3757,0.207412354,2,5,0.000133556,0.00033389,2016
33973,14975,3757,0.207412354,1,4,6.68E-05,0.000267112,2017
33973,14975,3757,0.207412354,0,0,0,0,2014
33973,14975,3757,0.207412354,2,4,0.000133556,0.000267112,2015
33974,16785,4464,0.129699136,1,2,5.96E-05,0.000119154,2017
33974,16785,4464,0.129699136,0,1,0,5.96E-05,2016
33974,16785,4464,0.129699136,0,3,0,0.000178731,2015
33974,16785,4464,0.129699136,0,1,0,5.96E-05,2014
33039,442,110,0.545248869,0,0,0,0,1970
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
33579,32166,9535,0.039233974,0,1,0,3.11E-05,2015
33579,32166,9535,0.039233974,0,0,0,0,2016
33579,32166,9535,0.039233974,1,0,3.11E-05,0,2018
33579,32166,9535,0.039233974,0,2,0,6.22E-05,2017
33473,10777,3246,0.035353067,0,0,0,0,2017
33744,167,0,0.065868263,0,0,0,0,1970
33185,31647,8052,0.148576484,1,0,3.16E-05,0,2015
33185,31647,8052,0.148576484,1,0,3.16E-05,0,2017
33415,50843,16342,0.245284503,3,7,5.90E-05,0.000137679,2016
33415,50843,16342,0.245284503,3,6,5.90E-05,0.00011801,2014
33415,50843,16342,0.245284503,0,1,0,1.97E-05,2018
33415,50843,16342,0.245284503,2,9,3.93E-05,0.000177016,2015
33415,50843,16342,0.245284503,2,7,3.93E-05,0.000137679,2017
33540,8515,3784,0.046153846,1,0,0.00011744,0,2017
33540,8515,3784,0.046153846,0,1,0,0.00011744,2015
33922,3634,1631,0.011832691,0,0,0,0,2015
33922,3634,1631,0.011832691,0,1,0,0.000275179,2018
33837,25218,8158,0.086763423,0,0,0,0,2016
33838,4011,1258,0.076788831,0,0,0,0,1970
33908,35917,17181,0.03210179,3,4,8.35E-05,0.000111368,2015
33908,35917,17181,0.03210179,4,1,0.000111368,2.78E-05,2016
33908,35917,17181,0.03210179,2,1,5.57E-05,2.78E-05,2014
33908,35917,17181,0.03210179,3,2,8.35E-05,5.57E-05,2017
33908,35917,17181,0.03210179,0,2,0,5.57E-05,2018
33931,10594,5683,0.042193695,1,3,9.44E-05,0.000283179,2017
33931,10594,5683,0.042193695,0,0,0,0,2014
33931,10594,5683,0.042193695,0,0,0,0,2016
33931,10594,5683,0.042193695,0,0,0,0,2018
33935,20315,6420,0.199852326,0,1,0,4.92E-05,2018
33935,20315,6420,0.199852326,0,1,0,4.92E-05,2017
33935,20315,6420,0.199852326,1,0,4.92E-05,0,2014
33945,0,0,0,0,0,0,0,1970
33952,33184,13728,0.051108968,0,3,0,9.04E-05,2014
33952,33184,13728,0.051108968,2,0,6.03E-05,0,2016
33952,33184,13728,0.051108968,0,0,0,0,2018
33952,33184,13728,0.051108968,2,0,6.03E-05,0,2017
33952,33184,13728,0.051108968,0,0,0,0,2015
33980,12736,5718,0.067760678,2,1,0.000157035,7.85E-05,2014
33980,12736,5718,0.067760678,2,0,0.000157035,0,2016
33033,57924,14954,0.218527726,2,3,3.45E-05,5.18E-05,2014
33033,57924,14954,0.218527726,1,0,1.73E-05,0,2017
33033,57924,14954,0.218527726,1,3,1.73E-05,5.18E-05,2015
33033,57924,14954,0.218527726,1,3,1.73E-05,5.18E-05,2013
33033,57924,14954,0.218527726,3,1,5.18E-05,1.73E-05,2016
33050,9475,3748,0.141530343,1,0,0.000105541,0,2016
33050,9475,3748,0.141530343,1,0,0.000105541,0,2017
33050,9475,3748,0.141530343,0,0,0,0,2014
33027,60467,21093,0.102799874,0,2,0,3.31E-05,2014
33027,60467,21093,0.102799874,0,1,0,1.65E-05,2017
33027,60467,21093,0.102799874,0,0,0,0,2016
33027,60467,21093,0.102799874,1,0,1.65E-05,0,2015
33013,34180,9578,0.344324166,2,1,5.85E-05,2.93E-05,2016
33013,34180,9578,0.344324166,3,3,8.78E-05,8.78E-05,2014
33013,34180,9578,0.344324166,2,2,5.85E-05,5.85E-05,2015
33013,34180,9578,0.344324166,1,1,2.93E-05,2.93E-05,2017
33063,54383,21434,0.127282423,0,0,0,0,2014
33063,54383,21434,0.127282423,0,4,0,7.36E-05,2013
33063,54383,21434,0.127282423,0,1,0,1.84E-05,2017
33063,54383,21434,0.127282423,3,1,5.52E-05,1.84E-05,2015
33063,54383,21434,0.127282423,0,1,0,1.84E-05,2016
33067,29289,9125,0.072177268,0,0,0,0,2014
33067,29289,9125,0.072177268,1,0,3.41E-05,0,2015
33069,27302,10385,0.156728445,1,0,3.66E-05,0,2016
33069,27302,10385,0.156728445,1,0,3.66E-05,0,2014
33069,27302,10385,0.156728445,1,0,3.66E-05,0,2017
33069,27302,10385,0.156728445,0,1,0,3.66E-05,2015
33125,61036,20356,0.375548856,0,5,0,8.19E-05,2017
33125,61036,20356,0.375548856,3,6,4.92E-05,9.83E-05,2015
33125,61036,20356,0.375548856,3,1,4.92E-05,1.64E-05,2014
33125,61036,20356,0.375548856,4,6,6.55E-05,9.83E-05,2016
33125,61036,20356,0.375548856,1,0,1.64E-05,0,2018
33127,32051,9608,0.203612992,8,3,0.000249602,9.36E-05,2015
33127,32051,9608,0.203612992,5,5,0.000156001,0.000156001,2014
33127,32051,9608,0.203612992,2,2,6.24E-05,6.24E-05,2018
33127,32051,9608,0.203612992,3,11,9.36E-05,0.000343203,2016
33127,32051,9608,0.203612992,1,12,3.12E-05,0.000374403,2017
33133,34421,13377,0.208651695,0,3,0,8.72E-05,2016
33133,34421,13377,0.208651695,0,10,0,0.00029052,2015
33133,34421,13377,0.208651695,1,4,2.91E-05,0.000116208,2014
33133,34421,13377,0.208651695,0,6,0,0.000174312,2017
33133,34421,13377,0.208651695,0,0,0,0,2018
33135,39502,14412,0.462710749,1,4,2.53E-05,0.000101261,2017
33135,39502,14412,0.462710749,1,2,2.53E-05,5.06E-05,2015
33135,39502,14412,0.462710749,3,4,7.59E-05,0.000101261,2014
33135,39502,14412,0.462710749,1,3,2.53E-05,7.59E-05,2016
33135,39502,14412,0.462710749,1,0,2.53E-05,0,2018
33312,53365,17828,0.148730441,3,7,5.62E-05,0.000131172,2016
33312,53365,17828,0.148730441,3,2,5.62E-05,3.75E-05,2014
33312,53365,17828,0.148730441,0,1,0,1.87E-05,2018
33312,53365,17828,0.148730441,2,2,3.75E-05,3.75E-05,2015
33312,53365,17828,0.148730441,3,3,5.62E-05,5.62E-05,2017
33009,41250,18751,0.217527273,3,7,7.27E-05,0.000169697,2016
33009,41250,18751,0.217527273,2,6,4.85E-05,0.000145455,2014
33009,41250,18751,0.217527273,3,2,7.27E-05,4.85E-05,2017
33009,41250,18751,0.217527273,0,3,0,7.27E-05,2015
33012,75992,23840,0.334285188,6,4,7.90E-05,5.26E-05,2014
33012,75992,23840,0.334285188,2,3,2.63E-05,3.95E-05,2016
33012,75992,23840,0.334285188,0,1,0,1.32E-05,2017
33012,75992,23840,0.334285188,0,0,0,0,2018
33012,75992,23840,0.334285188,2,1,2.63E-05,1.32E-05,2015
33012,75992,23840,0.334285188,7,0,9.21E-05,0,2013
33018,50119,13378,0.198946507,1,2,2.00E-05,3.99E-05,2015
33018,50119,13378,0.198946507,0,1,0,2.00E-05,2017
33018,50119,13378,0.198946507,1,0,2.00E-05,0,2016
33331,24948,7430,0.138287638,1,0,4.01E-05,0,2016
33324,47588,18908,0.135769522,1,0,2.10E-05,0,2014
33324,47588,18908,0.135769522,0,0,0,0,2016
33324,47588,18908,0.135769522,1,0,2.10E-05,0,2015
33324,47588,18908,0.135769522,0,3,0,6.30E-05,2017
33327,23323,6569,0.213137246,0,1,0,4.29E-05,2017
33328,29310,10291,0.063971341,0,0,0,0,2014
33328,29310,10291,0.063971341,1,0,3.41E-05,0,2016
33328,29310,10291,0.063971341,1,0,3.41E-05,0,2017
33408,17903,8799,0.032843657,0,1,0,5.59E-05,2016
33408,17903,8799,0.032843657,0,0,0,0,2014
33412,14140,5100,0.041089109,0,1,0,7.07E-05,2017
33412,14140,5100,0.041089109,0,0,0,0,2016
33414,60452,19620,0.090435387,2,1,3.31E-05,1.65E-05,2016
33414,60452,19620,0.090435387,1,1,1.65E-05,1.65E-05,2017
33414,60452,19620,0.090435387,0,1,0,1.65E-05,2015
