zipcode,value
32003,0
32003,1
32003,0
32008,0
32009,0
32011,0
32011,3
32024,0
32024,0
32024,0
32025,1
32025,3
32025,2
32025,0
32025,0
32026,0
32033,0
32034,2
32034,3
32034,1
32034,1
32034,1
32038,0
32038,1
32040,3
32040,0
32043,1
32043,1
32043,6
32043,0
32044,0
32046,2
32046,0
32046,0
32052,1
32053,0
32054,4
32054,2
32054,1
32055,3
32055,0
32055,0
32055,3
32055,0
32058,0
32059,0
32059,0
32059,0
32060,1
32060,0
32060,0
32061,0
32062,0
32063,0
32063,1
32063,0
32063,0
32063,1
32064,0
32065,0
32065,1
32065,2
32066,0
32068,1
32068,0
32068,1
32068,0
32068,0
32071,0
32072,0
32073,0
32073,4
32073,2
32073,1
32079,0
32080,1
32080,0
32080,0
32080,1
32080,0
32081,0
32082,0
32083,0
32084,0
32084,2
32084,5
32084,3
32084,1
32086,2
32086,0
32086,2
32087,0
32091,0
32091,0
32091,1
32091,0
32092,1
32092,3
32092,1
32092,1
32092,1
32094,0
32095,0
32095,0
32096,2
32097,1
32097,1
32097,1
32097,0
32102,1
32110,2
32110,0
32110,1
32110,1
32110,1
32112,0
32112,0
32112,1
32113,2
32113,0
32113,0
32113,0
32114,3
32114,3
32114,6
32114,5
32114,2
32117,2
32117,1
32117,1
32117,1
32117,0
32118,0
32118,2
32118,1
32118,2
32118,0
32119,1
32119,1
32119,0
32119,0
32124,0
32127,1
32127,1
32127,0
32127,0
32128,3
32128,0
32128,1
32129,0
32129,0
32129,1
32129,0
32130,1
32130,2
32130,0
32131,3
32131,0
32131,1
32132,2
32133,0
32134,0
32134,1
32134,1
32134,0
32136,0
32136,1
32136,0
32136,1
32137,0
32137,1
32137,1
32137,4
32137,0
32139,0
32140,1
32141,0
32141,0
32141,1
32141,1
32145,0
32145,0
32145,0
32145,0
32147,0
32148,0
32148,0
32148,0
32148,1
32148,1
32157,0
32159,2
32159,1
32159,0
32159,1
32162,0
32162,0
32162,0
32164,0
32164,0
32164,1
32164,3
32164,1
32168,0
32168,0
32168,0
32168,1
32168,1
32169,1
32174,2
32174,2
32174,0
32174,0
32176,1
32176,0
32176,1
32176,0
32177,5
32177,4
32177,2
32177,2
32179,0
32179,0
32179,0
32180,0
32180,1
32180,0
32181,0
32181,1
32187,0
32187,1
32189,0
32189,1
32190,0
32193,0
32195,0
32195,0
32195,5
32202,2
32202,2
32202,3
32202,1
32204,0
32204,1
32204,0
32204,3
32204,1
32205,4
32205,8
32205,2
32205,6
32205,4
32205,1
32206,3
32206,7
32206,5
32206,8
32206,1
32207,0
32207,4
32207,3
32207,2
32207,0
32208,12
32208,12
32208,8
